zb_url,zb_zbmc,zb_yxlx,zb_fjmc,zb_gkrs
https://www.douyu.com/1811697,Y丶余味,英雄联盟,老天使不老神话之积分福利大放送,2825
https://www.douyu.com/2163194,嘟嘟带你上亡者,英雄联盟,斗鱼第二 妹子德莱文,2819
https://www.douyu.com/1810094,吃亏是福丶大表弟,英雄联盟,郊区有人一起去吗？,2803
https://www.douyu.com/1130592,小江南灬,英雄联盟,想上分找主播~~~,2801
https://www.douyu.com/WCA2016,WCA2016电子竞技大赛,CS:GO,WCA Farmskins 欧洲区资格赛,3312
https://www.douyu.com/CSGOx7,SSVT丶小柒,CS:GO,【小柒】第三届希望杯季前赛开始报名！,2349
https://www.douyu.com/495840,Jason9271,CS:GO,别的不说。先把秃鸡变老鹰 T.T,2293
https://www.douyu.com/2797328,金宝K1NBO,CS:GO,宝哥今天直播间roll7个皮肤,2228
https://www.douyu.com/3401861,蜜瓜不姓哈,我的世界,我的世界纯纯的生存,63
https://www.douyu.com/2136900,mc雪栗子,我的世界,"生存小镇开建,速来围观(←←)",60
https://www.douyu.com/dgb,帝国兵,我的世界,【Divine Journey】,59
https://www.douyu.com/533660,河南人灬小胖,DNF,小牛：合天空深渊电子竞技没有生病！,1.2万
https://www.douyu.com/578565,小骚年直播间,DNF,考试16连小骚年学神来了,8892
https://www.douyu.com/145201,斗魚丶小可,DNF,小可:合天空强化深渊专业解毒30年,7079
https://www.douyu.com/LingZhu,happyhappyG,怀旧游戏,帝国时代2：大乱斗王者,2299
https://www.douyu.com/1469169,咱家的亲耐滴,怀旧游戏,感谢金克斯赠送的一发火箭,2124
https://www.douyu.com/533695,红警之神,怀旧游戏,紅警：共和國之輝,2047
https://www.douyu.com/2670614,小萝卜头520666,怀旧游戏,热血江湖童年回忆,2045
https://www.douyu.com/2292076,北冥有鱼名贤,绝地求生,第一人称晕3D的别进,1.1万
https://www.douyu.com/545318,疯狂的二表哥,绝地求生,今天在家吃鸡不户外,1万
https://www.douyu.com/kunka,昆卡昆卡,绝地求生,昆卡 缘分学宗师级大师！！！！,1万
https://www.douyu.com/231699,华尔街盖世太保,绝地求生,人民广场吃着炸鸡,1.3万
https://www.douyu.com/186485,黑不溜銩,主机游戏,【黑】WWE2K18 来 战个痛！！！,750
https://www.douyu.com/2107841,Alex15,主机游戏,合金装备5狂奔,720
https://www.douyu.com/546592,jingnan24,主机游戏,【波斯王子5】菜鸟带你飞,715
https://www.douyu.com/3258761,阿拉神丁来了,魔兽争霸,军团战争 战就战丁神来了,91
https://www.douyu.com/2481458,lhT丿蛇神,魔兽争霸,终于快好了， 生病是最难受的,81
https://www.douyu.com/mengvip,黎黎花海丶,魔兽争霸,军团战争TD：玩会RPG等人来~军团,69
https://www.douyu.com/kof2002vip,天造大神,格斗游戏,先救公主，一会拳皇,1.2万
https://www.douyu.com/fong,那日的风,格斗游戏,【MUGEN】来一波究极狂下SOLO,8561
https://www.douyu.com/129901,东台林铭,格斗游戏,河池  VS 老K  昨晚两场,3021
https://www.douyu.com/559315,魔都100主机俱乐部,格斗游戏,魔都100C日常野战,2811
https://www.douyu.com/297535,恶蚊子,棋牌娱乐,四国军棋狂魔：声控游戏第二季开始啦！,2万
https://www.douyu.com/1879600,曾经是何年,棋牌娱乐,满级发哥200钻石追梦,9321
https://www.douyu.com/doupai,斗牌TV,棋牌娱乐,boss精彩解说深夜德州,5915
https://www.douyu.com/714420,金玉满堂2016,棋牌娱乐,国家大师网络对局解说,4575
https://www.douyu.com/haha1212,乌鸦c丶叫我大马哥,英雄联盟,联盟七年，唯吾敢认第一乌鸦,2782
https://www.douyu.com/2026769,尔东丶辰,英雄联盟,老辰螳螂 开始我们的修仙之路,2775
https://www.douyu.com/848664,Dou鱼苏牛牛848664,英雄联盟,我苏北砍王苏牛牛,2758
https://www.douyu.com/1746258,剑惊风yasssuo,英雄联盟,国服第一亚索 苦练三年  峡谷之巅称王,2755
https://www.douyu.com/ddw123,弹道王,CS:GO,（弹道王）今天5E继续开车~,2097
https://www.douyu.com/2005120,就叫我隆隆吧,CS:GO,[铁柱号]为了不挨骂，所以少说话。,2065
https://www.douyu.com/2999289,就叫我子龙把,CS:GO,[子龙号]又要发车了、、、、、,2049
https://www.douyu.com/3101199,子弹D丶,我的世界,【子弹】盒子精的翻身之日！,58
https://www.douyu.com/2226224,主播毒霸霸,我的世界,[直播]新周目开启!服招人开荒中~,57
https://www.douyu.com/279256,mi猪猪,我的世界,❤少女猪❤嗷嗷嗷，我最爱的MC~,18
https://www.douyu.com/DJGS,犹怜红颜泪染妆,DNF,深渊强化天空,6709
https://www.douyu.com/yalaoyi,Anubis天涯,DNF,涯老一：毕业王带你增幅、强化、合天空！,6232
https://www.douyu.com/2820310,琴崽520,DNF,追梦房间！,5223
https://www.douyu.com/3369605,阿怪爸爸i,DNF,老老实实搬搬砖砖,5126
https://www.douyu.com/1881387,Mod毅力哥,怀旧游戏,毅力哥：办卡上车 继续作三国,1944
https://www.douyu.com/864659,唯灬神,怀旧游戏,噩梦模式 继续刚,1884
https://www.douyu.com/xtahkso,douyu聚游,怀旧游戏,史上极度变态西游噩梦版,1863
https://www.douyu.com/811240,丶口嗨,绝地求生,美团外卖，请开门取餐，麻烦给五星好评,1.4万
https://www.douyu.com/2448877,RunningQvQ,绝地求生,【R】东南亚第一/每日10鸡/职业队日常,1万
https://www.douyu.com/2577317,Alivelam,绝地求生,【Alive】无聊的时候可以来看我变盒子,1.3万
https://www.douyu.com/2983370,Mccc铁柱,绝地求生,【铁柱】魔音铁柱2333,1.5万
https://www.douyu.com/700764,丶不能承受的生命之轻,主机游戏,要砸键盘的茶杯头,696
https://www.douyu.com/ucgucg,游戏机实用技术,主机游戏,充满战略味的无双作《火纹无双》直播,677
https://www.douyu.com/677968,20岁的追风少年心跳,主机游戏,堡垒之夜：一个不想成为的盒子追风少年,673
https://www.douyu.com/1343216,你个菊花666,魔兽争霸,无聊玩会肉搏,69
https://www.douyu.com/3281066,剑人教教皇SB最剑,魔兽争霸,游戏小高手,69
https://www.douyu.com/fsslovebay,无敌战神萍,魔兽争霸,真三，怒干天梯第一图狗。,68
https://www.douyu.com/2031107,游聚柱子,格斗游戏,三国战纪119风云乱世西游,2512
https://www.douyu.com/mdhb,魔都洪斌,格斗游戏,天魔降伏，天地逆转，天命所归，错爱一生,2510
https://www.douyu.com/a4567,高冷男柛钱小徍,格斗游戏,陆叁贰肆丶美女直播员,2222
https://www.douyu.com/muchengxi,辽源木承兮,格斗游戏,木胖一百九，鱼丸有木有？,1834
